id,will,benjy
1,what is this.,
2,!@ARTISTNAME@! is derivative of pavement,
3,feouwgouewhogwuh,
4,hey !@ARTISTNAME@!,
5,"!@ARTISTNAME@!, yeah, yeah",
6,,mixed feelings about !@ARTISTNAME@!
7,,my friend is super into !@ARTISTNAME@!. not one of my cool friends
8,,!@ARTISTNAME@!???
9,,!@ARTISTNAME@! hmmmm
10,,i listen to !@ARTISTNAME@! while i do math homework
11,,my ex had a sex playlist that was 80 percent !@ARTISTNAME@!
12,!@ARTISTNAME's@! album covers should go in a museum,
13,benjy thinks !@ARTISTNAME@! is really hot. they're wrong.,
14,!@ARTISTNAME@!??? really???,
15,"oh! honestly, though, i kinda liked your music",
16,,interesting selection of songs! i feel like you can learn so much about a person this way
17,you should join WHRB,
18,,we should jam
19,,intriguing ...
20,,this reminds me of something but i'm forgetting specifically what